Year,concept.REF_AREA,concept.URBANISATION,Value
2000,CL_REF_AREA.RW,,196
2005,CL_REF_AREA.RW,,152
2008,CL_REF_AREA.RW,,103
2010,CL_REF_AREA.RW,,76
2015,CL_REF_AREA.RW,,50
2008,CL_REF_AREA.RW,CL_URBANISATION.U,87
2010,CL_REF_AREA.RW,CL_URBANISATION.U,81
2015,CL_REF_AREA.RW,CL_URBANISATION.U,51
2008,CL_REF_AREA.RW,CL_URBANISATION.R,142
2010,CL_REF_AREA.RW,CL_URBANISATION.R,105
2015,CL_REF_AREA.RW,CL_URBANISATION.R,70
2008,CL_REF_AREA.1,,102
2010,CL_REF_AREA.1,,79
2015,CL_REF_AREA.1,,42
2008,CL_REF_AREA.2,,127
2010,CL_REF_AREA.2,,96
2015,CL_REF_AREA.2,,66
2008,CL_REF_AREA.3,,129
2010,CL_REF_AREA.3,,88
2015,CL_REF_AREA.3,,62
2008,CL_REF_AREA.4,,115
2010,CL_REF_AREA.4,,107
2015,CL_REF_AREA.4,,60
2008,CL_REF_AREA.5,,174
2010,CL_REF_AREA.5,,125
2015,CL_REF_AREA.5,,86
