Year,SERIES,Reference area,Sex,Education level,UNIT_MEASURE,GeoCode,Value
2017,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Pre-primary education,Percent,,47.0
2018,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Pre-primary education,Percent,,52.6
2019,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Pre-primary education,Percent,,57.1
2017,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,Pre-primary education,Percent,,46.8
2018,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,Pre-primary education,Percent,,46.8
2019,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,Pre-primary education,Percent,,52.0
2020,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,Pre-primary education,Percent,,56.4
2021,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,Pre-primary education,Percent,,71.1
2022,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,Pre-primary education,Percent,,83.4
2017,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,Pre-primary education,Percent,,47.4
2018,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,Pre-primary education,Percent,,47.4
2019,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,Pre-primary education,Percent,,53.1
2020,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,Pre-primary education,Percent,,57.9
2021,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,Pre-primary education,Percent,,73.3
2022,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,Pre-primary education,Percent,,85.4
