Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Age,Degree of urbanisation,Education level,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",,,,Primary education,Index,,1.0
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",,,,Primary education,Index,,1.0
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",,,Urban,Primary education,Index,,1.0
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",,,Urban,Primary education,Index,,1.0
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",,,Rural,Primary education,Index,,1.0
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Net attendance rate",,,Rural,Primary education,Index,,1.0
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",,,,Primary education,Index,,1.0
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",,,,Primary education,Index,,1.0
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",,,Urban,Primary education,Index,,0.9
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",,,Urban,Primary education,Index,,1.0
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",,,Rural,Primary education,Index,,1.0
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Gross attendance rate",,,Rural,Primary education,Index,,1.0
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",,,,Primary education,Index,,0.9
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",,,,Primary education,Index,,0.8
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",,,Urban,Primary education,Index,,1.0
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",,,Urban,Primary education,Index,,0.8
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",,,Rural,Primary education,Index,,0.9
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Repetition rate",,,Rural,Primary education,Index,,0.7
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",,,,Primary education,Index,,1.1
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",,,,Primary education,Index,,1.1
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",,,Urban,Primary education,Index,,1.0
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",,,Urban,Primary education,Index,,1.1
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",,,Rural,Primary education,Index,,1.1
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training - Primary, Promotion rate",,,Rural,Primary education,Index,,1.1
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",,,,Secondary education (lower and upper secondary education),Index,,1.2
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",,,,Secondary education (lower and upper secondary education),Index,,1.3
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",,,Urban,Secondary education (lower and upper secondary education),Index,,1.0
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",,,Urban,Secondary education (lower and upper secondary education),Index,,1.1
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",,,Rural,Secondary education (lower and upper secondary education),Index,,1.2
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate",,,Rural,Secondary education (lower and upper secondary education),Index,,1.4
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",,,,Secondary education (lower and upper secondary education),Index,,1.1
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",,,,Secondary education (lower and upper secondary education),Index,,1.2
2017,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",,,Urban,Secondary education (lower and upper secondary education),Index,,0.8
2024,Normal value,Units,Not Available,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",Annual,National,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate",,,Urban,Secondary education (lower and upper secondary education),Index,,1.1
