Year,REF_AREA,SEX,AGE,URBANISATION,GeoCode,Value
2000,,,,,,58.9
2005,,,,,,56.7
2011,,,,,,44.9
2014,,,,,,39.1
2017,,,,,,38.2
2024,,,,,,27.4
2014,,M,Y_GE16,,,33.2
2017,,M,Y_GE16,,,31.6
2024,,M,Y_GE16,,,24.9
2014,,F,Y_GE16,,,35.9
2017,,F,Y_GE16,,,34.8
2024,,F,Y_GE16,,,25.4
2014,,M,Y0T14,,,44.7
2017,,M,Y0T14,,,44.2
2024,,M,Y0T14,,,31.0
2014,,F,Y0T14,,,44.6
2017,,F,Y0T14,,,44.8
2024,,F,Y0T14,,,29.9
2005,,,,U,,28.5
2011,,,,U,,22.1
2014,,,,U,,15.9
2017,,,,U,,15.8
2024,,,,U,,16.7
2005,,,,R,,61.9
2011,,,,R,,48.7
2014,,,,R,,43.7
2017,,,,R,,43.1
2024,,,,R,,31.6
2000,1,,,,1,22.7
2005,1,,,,1,20.8
2011,1,,,,1,16.8
2014,1,,,,1,20.9
2017,1,,,,1,13.9
2024,1,,,,1,9.1
2000,2,,,,2,65.5
2005,2,,,,2,66.7
2011,2,,,,2,56.5
2014,2,,,,2,38.4
2017,2,,,,2,41.4
2024,2,,,,2,34.7
2000,3,,,,3,62.3
2005,3,,,,3,60.4
2011,3,,,,3,48.4
2014,3,,,,3,45.2
2017,3,,,,3,47.1
2024,3,,,,3,37.4
2000,4,,,,4,64.2
2005,4,,,,4,60.5
2011,4,,,,4,42.8
2014,4,,,,4,45.9
2017,4,,,,4,42.3
2024,4,,,,4,20.2
2000,5,,,,5,59.3
2005,5,,,,5,52.1
2011,5,,,,5,42.6
2014,5,,,,5,38.0
2017,5,,,,5,37.4
2024,5,,,,5,26.8
2011,11,,,,11,10.1
2014,11,,,,11,19.9
2017,11,,,,11,11.8
2024,11,,,,11,6.8
2011,12,,,,12,26.0
2014,12,,,,12,23.4
2017,12,,,,12,15.8
2024,12,,,,12,11.1
2011,13,,,,13,8.3
2014,13,,,,13,16.3
2017,13,,,,13,11.4
2024,13,,,,13,6.9
2011,21,,,,21,49.8
2014,21,,,,21,38.0
2017,21,,,,21,46.5
2024,21,,,,21,43.3
2011,22,,,,22,59.4
2014,22,,,,22,53.3
2017,22,,,,22,55.6
2024,22,,,,22,45.6
2011,23,,,,23,61.6
2014,23,,,,23,47.9
2017,23,,,,23,52.4
2024,23,,,,23,39.7
2011,24,,,,24,46.6
2014,24,,,,24,32.5
2017,24,,,,24,40.2
2024,24,,,,24,24.2
2011,25,,,,25,73.3
2014,25,,,,25,41.5
2017,25,,,,25,48.6
2024,25,,,,25,51.4
2011,26,,,,26,60.4
2014,26,,,,26,37.8
2017,26,,,,26,38.0
2024,26,,,,26,15.0
2011,27,,,,27,53.6
2014,27,,,,27,30.5
2017,27,,,,27,32.6
2024,27,,,,27,15.0
2011,28,,,,28,46.7
2014,28,,,,28,25.9
2017,28,,,,28,22.3
2024,28,,,,28,39.7
2011,31,,,,31,61.7
2014,31,,,,31,45.3
2017,31,,,,31,52.7
2024,31,,,,31,38.2
2011,32,,,,32,53.0
2014,32,,,,32,51.4
2017,32,,,,32,49.5
2024,32,,,,32,40.8
2011,33,,,,33,35.8
2014,33,,,,33,35.5
2017,33,,,,33,35.7
2024,33,,,,33,38.8
2011,34,,,,34,28.6
2014,34,,,,34,39.6
2017,34,,,,34,46.8
2024,34,,,,34,20.2
2011,35,,,,35,51.9
2014,35,,,,35,49.6
2017,35,,,,35,47.7
2024,35,,,,35,30.2
2011,36,,,,36,45.0
2014,36,,,,36,35.1
2017,36,,,,36,33.5
2024,36,,,,36,44.2
2011,37,,,,37,63.4
2014,37,,,,37,62.0
2017,37,,,,37,69.3
2024,37,,,,37,42.8
2011,41,,,,41,42.9
2014,41,,,,41,48.1
2017,41,,,,41,54.2
2024,41,,,,41,21.6
2011,42,,,,42,56.6
2014,42,,,,42,42.0
2017,42,,,,42,34.2
2024,42,,,,42,24.5
2011,43,,,,43,20.1
2014,43,,,,43,34.9
2017,43,,,,43,40.7
2024,43,,,,43,21.0
2011,44,,,,44,45.2
2014,44,,,,44,50.4
2017,44,,,,44,49.8
2024,44,,,,44,22.0
2011,45,,,,45,49.3
2014,45,,,,45,55.3
2017,45,,,,45,34.7
2024,45,,,,45,13.3
2011,51,,,,51,30.4
2014,51,,,,51,25.4
2017,51,,,,51,18.9
2024,51,,,,51,23.8
2011,52,,,,52,37.8
2014,52,,,,52,44.1
2017,52,,,,52,44.8
2024,52,,,,52,36.4
2011,53,,,,53,43.1
2014,53,,,,53,43.8
2017,53,,,,53,42.1
2024,53,,,,53,18.4
2011,54,,,,54,42.6
2014,54,,,,54,26.4
2017,54,,,,54,26.7
2024,54,,,,54,36.6
2011,55,,,,55,47.9
2014,55,,,,55,41.8
2017,55,,,,55,44.6
2024,55,,,,55,14.2
2011,56,,,,56,47.6
2014,56,,,,56,46.8
2017,56,,,,56,37.8
2024,56,,,,56,30.9
2011,57,,,,57,48.4
2014,57,,,,57,34.3
2017,57,,,,57,40.3
2024,57,,,,57,23.7
