Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2017,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,,PT,,36.7
2020,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,,PT,,54.8
2022,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,,PT,,58.6
2024,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,,PT,,85.0
2017,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,U,PT,,63.0
2020,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,U,PT,,61.6
2022,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,U,PT,,77.6
2024,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,U,PT,,94.0
2017,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,R,PT,,30.5
2020,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,R,PT,,47.9
2022,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,R,PT,,50.9
2024,Proportion of individuals who own a mobile telephone (Population 16 years and above),EICV and RPHC5/2022,IT_MOB_OWN,,R,PT,,80.6
