Year,REF_AREA,SEX,AGE,URBANISATION,Value
2000,,,,,58.9
2005,,,,,56.7
2011,,,,,44.9
2014,,,,,39.1
2017,,,,,38.2
2014,,M,Y_GE16,,33.2
2017,,M,Y_GE16,,31.6
2014,,F,Y_GE16,,35.9
2017,,F,Y_GE16,,34.8
2014,,M,Y0T14,,44.7
2017,,M,Y0T14,,44.2
2014,,F,Y0T14,,44.6
2017,,F,Y0T14,,44.8
2005,,,,U,28.5
2011,,,,U,22.1
2014,,,,U,15.9
2017,,,,U,15.8
2005,,,,R,61.9
2011,,,,R,48.7
2014,,,,R,43.7
2017,,,,R,43.1
2000,1,,,,22.7
2005,1,,,,20.8
2011,1,,,,16.8
2014,1,,,,20.9
2017,1,,,,13.9
2000,2,,,,65.5
2005,2,,,,66.7
2011,2,,,,56.5
2014,2,,,,38.4
2017,2,,,,41.4
2000,3,,,,62.3
2005,3,,,,60.4
2011,3,,,,48.4
2014,3,,,,45.2
2017,3,,,,47.1
2000,4,,,,64.2
2005,4,,,,60.5
2011,4,,,,42.8
2014,4,,,,45.9
2017,4,,,,42.3
2000,5,,,,59.3
2005,5,,,,52.1
2011,5,,,,42.6
2014,5,,,,38.0
2017,5,,,,37.4
2011,11,,,,10.1
2014,11,,,,19.9
2017,11,,,,11.8
2011,12,,,,26.0
2014,12,,,,23.4
2017,12,,,,15.8
2011,13,,,,8.3
2014,13,,,,16.3
2017,13,,,,11.4
2011,21,,,,49.8
2014,21,,,,38.0
2017,21,,,,46.5
2011,22,,,,59.4
2014,22,,,,53.3
2017,22,,,,55.6
2011,23,,,,61.6
2014,23,,,,47.9
2017,23,,,,52.4
2011,24,,,,46.6
2014,24,,,,32.5
2017,24,,,,40.2
2011,25,,,,73.3
2014,25,,,,41.5
2017,25,,,,48.6
2011,26,,,,60.4
2014,26,,,,37.8
2017,26,,,,38.0
2011,27,,,,53.6
2014,27,,,,30.5
2017,27,,,,32.6
2011,28,,,,46.7
2014,28,,,,25.9
2017,28,,,,22.3
2011,31,,,,61.7
2014,31,,,,45.3
2017,31,,,,52.7
2011,32,,,,53.0
2014,32,,,,51.4
2017,32,,,,49.5
2011,33,,,,35.8
2014,33,,,,35.5
2017,33,,,,35.7
2011,34,,,,28.6
2014,34,,,,39.6
2017,34,,,,46.8
2011,35,,,,51.9
2014,35,,,,49.6
2017,35,,,,47.7
2011,36,,,,45.0
2014,36,,,,35.1
2017,36,,,,33.5
2011,37,,,,63.4
2014,37,,,,62.0
2017,37,,,,69.3
2011,41,,,,42.9
2014,41,,,,48.1
2017,41,,,,54.2
2011,42,,,,56.6
2014,42,,,,42.0
2017,42,,,,34.2
2011,43,,,,20.1
2014,43,,,,34.9
2017,43,,,,40.7
2011,44,,,,45.2
2014,44,,,,50.4
2017,44,,,,49.8
2011,45,,,,49.3
2014,45,,,,55.3
2017,45,,,,34.7
2011,51,,,,30.4
2014,51,,,,25.4
2017,51,,,,18.9
2011,52,,,,37.8
2014,52,,,,44.1
2017,52,,,,44.8
2011,53,,,,43.1
2014,53,,,,43.8
2017,53,,,,42.1
2011,54,,,,42.6
2014,54,,,,26.4
2017,54,,,,26.7
2011,55,,,,47.9
2014,55,,,,41.8
2017,55,,,,44.6
2011,56,,,,47.6
2014,56,,,,46.8
2017,56,,,,37.8
2011,57,,,,48.4
2014,57,,,,34.3
2017,57,,,,40.3
