Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2005,SH_STA_WAST,,,Y0T4,PT,,5.0
2010,SH_STA_WAST,,,Y0T4,PT,,3.0
2015,SH_STA_WAST,,,Y0T4,PT,,2.0
2020,SH_STA_WAST,,,Y0T4,PT,,1.1
2015,SH_STA_WAST,,M,Y0T4,PT,,2.4
2020,SH_STA_WAST,,M,Y0T4,PT,,0.9
2015,SH_STA_WAST,,F,Y0T4,PT,,2.0
2020,SH_STA_WAST,,F,Y0T4,PT,,1.4
2010,SN_STA_OVWGT,,,Y0T4,PT,,7.0
2015,SN_STA_OVWGT,,,Y0T4,PT,,8.0
2020,SN_STA_OVWGT,,,Y0T4,PT,,5.6
2015,SN_STA_OVWGT,,M,Y0T4,PT,,8.1
2020,SN_STA_OVWGT,,M,Y0T4,PT,,5.8
2015,SN_STA_OVWGT,,F,Y0T4,PT,,7.3
2020,SN_STA_OVWGT,,F,Y0T4,PT,,5.4
