Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2017,SE_PRE_PARTN,,,ISCED97_0,PT,,47.0
2018,SE_PRE_PARTN,,,ISCED97_0,PT,,52.6
2019,SE_PRE_PARTN,,,ISCED97_0,PT,,57.1
2017,SE_PRE_PARTN,,M,ISCED97_0,PT,,46.8
2018,SE_PRE_PARTN,,M,ISCED97_0,PT,,46.8
2019,SE_PRE_PARTN,,M,ISCED97_0,PT,,52.0
2020,SE_PRE_PARTN,,M,ISCED97_0,PT,,56.4
2021,SE_PRE_PARTN,,M,ISCED97_0,PT,,71.1
2022,SE_PRE_PARTN,,M,ISCED97_0,PT,,83.4
2017,SE_PRE_PARTN,,F,ISCED97_0,PT,,47.4
2018,SE_PRE_PARTN,,F,ISCED97_0,PT,,47.4
2019,SE_PRE_PARTN,,F,ISCED97_0,PT,,53.1
2020,SE_PRE_PARTN,,F,ISCED97_0,PT,,57.9
2021,SE_PRE_PARTN,,F,ISCED97_0,PT,,73.3
2022,SE_PRE_PARTN,,F,ISCED97_0,PT,,85.4
