Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2017,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,,NUMBER,,21.4
2018,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,,NUMBER,,20.6
2019,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,,NUMBER,,17.9
2021,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,,NUMBER,,17.9
2022,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,,NUMBER,,17.3
2023,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,,NUMBER,,19.5
2024,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,,NUMBER,,17.7
2017,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,M,NUMBER,,14.6
2018,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,M,NUMBER,,13.5
2019,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,M,NUMBER,,12.1
2021,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,M,NUMBER,,12.3
2022,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,M,NUMBER,,11.9
2023,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,M,NUMBER,,13.6
2024,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,M,NUMBER,,12.6
2017,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,F,NUMBER,,26.0
2018,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,F,NUMBER,,25.3
2019,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,F,NUMBER,,22.3
2021,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,F,NUMBER,,21.8
2022,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,F,NUMBER,,21.1
2023,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,F,NUMBER,,24.0
2024,Proportion of time spent on unpaid care work -  (in hours per week),"LFS, NISR",SL_DOM_TSPDCW,,F,NUMBER,,23.1
